graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,graph_auftraggeber_anzahl
"""""",lobbyregister_client,lobbyregister,2022-09-02,@-yet GmbH,@-yet GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000024,
"""""",lobbyregister_client,lobbyregister,2022-06-02,1.5° Ventures GmbH c/o Factory Works GmbH,1.5° Ventures GmbH c/o Factory Works GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000033,
"""""",lobbyregister_client,lobbyregister,2022-08-15,1&1 AG,1&1 AG,norm_lobbyregister_eintrag_2022-09-19_#0000038,
"""""",lobbyregister_client,lobbyregister,2022-08-15,1&1 Mail & Media Applications SE,1&1 Mail & Media Applications SE,norm_lobbyregister_eintrag_2022-09-19_#0000039,
"""""",lobbyregister_client,lobbyregister,2022-08-15,1&1 Versatel GmbH,1&1 Versatel GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000040,
"""""",lobbyregister_client,lobbyregister,2022-08-31,2G Energietechnik GmbH,2G Energietechnik GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000093,
"""""",lobbyregister_client,lobbyregister,2022-03-04,3M Deutschland GmbH,3M Deutschland GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000113,
"""""",lobbyregister_client,lobbyregister,2022-06-02,50HertzTransmission GmbH,50HertzTransmission GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000139,
"""""",lobbyregister_client,lobbyregister,2022-09-14,50Hertz Transmission GmbH,50Hertz Transmission GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000140,
"""""",lobbyregister_client,lobbyregister,2022-09-15,ABB Asea Brown Boveri Ltd.,ABB Asea Brown Boveri Ltd.,norm_lobbyregister_eintrag_2022-09-19_#0000189,
"""""",lobbyregister_client,lobbyregister,2022-06-20,Abbott Laboratories Deutschland GmbH,Abbott Laboratories Deutschland GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000192,
"""""",lobbyregister_client,lobbyregister,2022-03-03,Abbvie,Abbvie,norm_lobbyregister_eintrag_2022-09-19_#0000194,
"""""",lobbyregister_client,lobbyregister,2022-03-04,AbbVie Deutschland GmbH & Co. KG,AbbVie Deutschland GmbH & Co. KG,norm_lobbyregister_eintrag_2022-09-19_#0000195,
"""""",lobbyregister_client,lobbyregister,2022-03-03,ABDA Bundesvereinigung Deutscher Apothekerverbände,ABDA Bundesvereinigung Deutscher Apothekerverbände,norm_lobbyregister_eintrag_2022-09-19_#0000198,
"""""",lobbyregister_client,lobbyregister,2022-06-20,ABDA - Bundesvereinigung Deutscher Apothekerverbände e. V.,ABDA - Bundesvereinigung Deutscher Apothekerverbände e. V.,norm_lobbyregister_eintrag_2022-09-19_#0000201,
"""""",lobbyregister_client,lobbyregister,2022-02-22,Abeking & Rasmussen Schiffs- und Yachtwerft SE,Abeking & Rasmussen Schiffs- und Yachtwerft SE,norm_lobbyregister_eintrag_2022-09-19_#0000203,
"""""",lobbyregister_client,lobbyregister,2022-05-29,ABEKING & RASMUSSEN Schiffs- und Yachtwerft SE,ABEKING & RASMUSSEN Schiffs- und Yachtwerft SE,norm_lobbyregister_eintrag_2022-09-19_#0000204,
"""""",lobbyregister_client,lobbyregister,2022-08-31,AB Energy Deutschland GmbH,AB Energy Deutschland GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000206,
"""""",lobbyregister_client,lobbyregister,2022-06-29,Accenture GmbH,Accenture GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000245,
"""""",lobbyregister_client,lobbyregister,2022-07-25,Acura Zahnärzte GmbH,Acura Zahnärzte GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000276,
"""""",lobbyregister_client,lobbyregister,2022-09-01,ADAC Luftrettung gGmbH,ADAC Luftrettung gGmbH,norm_lobbyregister_eintrag_2022-09-19_#0000284,
"""""",lobbyregister_client,lobbyregister,2022-08-16,Adecco Germany Holding,Adecco Germany Holding,norm_lobbyregister_eintrag_2022-09-19_#0000291,
"""""",lobbyregister_client,lobbyregister,2022-07-02,ADM Arbeitskreis Deutscher Markt- und Sozialforschungsinstitute e.V..,ADM Arbeitskreis Deutscher Markt- und Sozialforschungsinstitute e.V..,norm_lobbyregister_eintrag_2022-09-19_#0000303,
"""""",lobbyregister_client,lobbyregister,2022-07-29,Advanced Accelerator Applications Germany GmbH,Advanced Accelerator Applications Germany GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000320,
"""""",lobbyregister_client,lobbyregister,2022-07-29,AEP GmbH,AEP GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000342,
"""""",lobbyregister_client,lobbyregister,2022-06-02,Aerzener Maschinenfabrik Gesellschaft mit beschränkter Haftung,Aerzener Maschinenfabrik Gesellschaft mit beschränkter Haftung,norm_lobbyregister_eintrag_2022-09-19_#0000348,
"""""",lobbyregister_client,lobbyregister,2022-08-31,AEV Energy GmbH,AEV Energy GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000352,
"""""",lobbyregister_client,lobbyregister,2022-04-13,AFM+E e.V.,AFM+E e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000373,
"""""",lobbyregister_client,lobbyregister,2022-03-02,African Tourism Council,African Tourism Council,norm_lobbyregister_eintrag_2022-09-19_#0000378,
"""""",lobbyregister_client,lobbyregister,2022-08-03,Afruibana,Afruibana,norm_lobbyregister_eintrag_2022-09-19_#0000398,
"""""",lobbyregister_client,lobbyregister,2022-06-02,AGCO GmbH,AGCO GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000412,
"""""",lobbyregister_client,lobbyregister,2022-02-19,AGES Maut System GmbH &Co.KG,AGES Maut System GmbH &Co.KG,norm_lobbyregister_eintrag_2022-09-19_#0000446,
"""""",lobbyregister_client,lobbyregister,2022-02-25,AG Geldautomaten,AG Geldautomaten,norm_lobbyregister_eintrag_2022-09-19_#0000463,
"""""",lobbyregister_client,lobbyregister,2022-06-02,AGIMUS GmbH,AGIMUS GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000471,
"""""",lobbyregister_client,lobbyregister,2022-03-09,Agora Strategy Group,Agora Strategy Group,norm_lobbyregister_eintrag_2022-09-19_#0000490,
"""""",lobbyregister_client,lobbyregister,2022-02-23,AgroTrade Handelsgesellschaft mbH,AgroTrade Handelsgesellschaft mbH,norm_lobbyregister_eintrag_2022-09-19_#0000518,
"""""",lobbyregister_client,lobbyregister,2022-07-25,AiCuris Anti-infective Cures AG,AiCuris Anti-infective Cures AG,norm_lobbyregister_eintrag_2022-09-19_#0000561,
